:Data_list: power_202405.txt
:Created: Tue May  30 10:07:54 UTC 2024
2024-05-09 06:25:00 NOAA-UT (N)  6   13.00   1.00
2024-05-09 06:25:00 NOAA-UT (S)  6   14.00   1.00
2024-05-09 06:30:00 NOAA-UT (N)  6   13.00   1.00
2024-05-09 06:30:00 NOAA-UT (S)  6   13.00   1.00
2024-05-09 06:35:00 NOAA-UT (N)  6   13.00   1.00
2024-05-09 06:35:00 NOAA-UT (S)  6   13.00   1.00
2024-05-09 06:40:00 NOAA-UT (N)  6   13.00   1.00
2024-05-09 06:40:00 NOAA-UT (S)  6   13.00   1.00
2024-05-09 06:45:00 NOAA-UT (N)  5   12.00   1.00
2024-05-09 06:45:00 NOAA-UT (S)  6   13.00   1.00
2024-05-09 06:50:00 NOAA-UT (N)  5   12.00   1.00
2024-05-09 06:50:00 NOAA-UT (S)  5   12.00   1.00
2024-05-09 06:55:00 NOAA-UT (N)  5   12.00   1.00
2024-05-09 06:55:00 NOAA-UT (S)  5   12.00   1.00
2024-05-09 07:00:00 NOAA-UT (N)  5   12.00   1.00
2024-05-09 07:00:00 NOAA-UT (S)  5   12.00   1.00
2024-05-09 07:05:00 NOAA-UT (N)  5   12.00   1.00
2024-05-09 07:05:00 NOAA-UT (S)  5   12.00   1.00
2024-05-09 07:10:00 NOAA-UT (N)  5   12.00   1.00
2024-05-09 07:10:00 NOAA-UT (S)  5   12.00   1.00
2024-05-09 07:15:00 NOAA-UT (N)  5   12.00   1.00
2024-05-09 07:15:00 NOAA-UT (S)  5   12.00   1.00
2024-05-09 07:20:00 NOAA-UT (N)  5   12.00   1.00
2024-05-09 07:20:00 NOAA-UT (S)  5   12.00   1.00
2024-05-09 07:25:00 NOAA-UT (N)  5   12.00   1.00
2024-05-09 07:25:00 NOAA-UT (S)  5   12.00   1.00
2024-05-09 07:30:00 NOAA-UT (N)  5   11.00   1.00
2024-05-09 07:30:00 NOAA-UT (S)  5   11.00   1.00
2024-05-09 07:35:00 NOAA-UT (N)  5   11.00   1.00
2024-05-09 07:35:00 NOAA-UT (S)  5   11.00   1.00
2024-05-09 07:40:00 NOAA-UT (N)  5   11.00   1.00
2024-05-09 07:40:00 NOAA-UT (S)  5   11.00   1.00
2024-05-09 07:45:00 NOAA-UT (N)  5   11.00   1.00
2024-05-09 07:45:00 NOAA-UT (S)  5   11.00   1.00
2024-05-09 07:50:00 NOAA-UT (N)  5   11.00   1.00
2024-05-09 07:50:00 NOAA-UT (S)  5   11.00   1.00
2024-05-09 07:55:00 NOAA-UT (N)  5   11.00   1.00
2024-05-09 07:55:00 NOAA-UT (S)  5   11.00   1.00
2024-05-09 08:00:00 NOAA-UT (N)  5   11.00   1.00
2024-05-09 08:00:00 NOAA-UT (S)  5   11.00   1.00
2024-05-09 08:05:00 NOAA-UT (N)  5   11.00   1.00
2024-05-09 08:05:00 NOAA-UT (S)  5   11.00   1.00
2024-05-09 08:10:00 NOAA-UT (N)  5   11.00   1.00
2024-05-09 08:10:00 NOAA-UT (S)  5   11.00   1.00
2024-05-09 08:15:00 NOAA-UT (N)  5   11.00   1.00
2024-05-09 08:15:00 NOAA-UT (S)  5   11.00   1.00
2024-05-09 08:20:00 NOAA-UT (N)  5   11.00   1.00
2024-05-09 08:20:00 NOAA-UT (S)  5   11.00   1.00
2024-05-09 08:25:00 NOAA-UT (N)  5   11.00   1.00
2024-05-09 08:25:00 NOAA-UT (S)  5   11.00   1.00
2024-05-09 08:30:00 NOAA-UT (N)  5   11.00   1.00
2024-05-09 08:30:00 NOAA-UT (S)  5   11.00   1.00
2024-05-09 08:35:00 NOAA-UT (N)  5   11.00   1.00
2024-05-09 08:35:00 NOAA-UT (S)  5   11.00   1.00
2024-05-09 08:40:00 NOAA-UT (N)  5   11.00   1.00
2024-05-09 08:40:00 NOAA-UT (S)  5   11.00   1.00
2024-05-09 08:45:00 NOAA-UT (N)  5   11.00   1.00
2024-05-09 08:45:00 NOAA-UT (S)  5   11.00   1.00
2024-05-09 08:50:00 NOAA-UT (N)  5   11.00   1.00
2024-05-09 08:50:00 NOAA-UT (S)  5   11.00   1.00
2024-05-09 08:55:00 NOAA-UT (N)  5   11.00   1.00
2024-05-09 08:55:00 NOAA-UT (S)  5   11.00   1.00
2024-05-09 09:00:00 NOAA-UT (N)  5   11.00   1.00
2024-05-09 09:00:00 NOAA-UT (S)  5   11.00   1.00
2024-05-09 09:05:00 NOAA-UT (N)  5   12.00   1.00
2024-05-09 09:05:00 NOAA-UT (S)  5   12.00   1.00
2024-05-09 09:10:00 NOAA-UT (N)  5   12.00   1.00
2024-05-09 09:10:00 NOAA-UT (S)  5   12.00   1.00
2024-05-09 09:15:00 NOAA-UT (N)  5   12.00   1.00
2024-05-09 09:15:00 NOAA-UT (S)  5   12.00   1.00
2024-05-09 09:20:00 NOAA-UT (N)  5   12.00   1.00
2024-05-09 09:20:00 NOAA-UT (S)  6   13.00   1.00
2024-05-09 09:25:00 NOAA-UT (N)  5   12.00   1.00
2024-05-09 09:25:00 NOAA-UT (S)  6   13.00   1.00
2024-05-09 09:30:00 NOAA-UT (N)  5   12.00   1.00
2024-05-09 09:30:00 NOAA-UT (S)  5   12.00   1.00
2024-05-09 09:35:00 NOAA-UT (N)  6   13.00   1.00
2024-05-09 09:35:00 NOAA-UT (S)  6   13.00   1.00
2024-05-09 09:40:00 NOAA-UT (N)  6   13.00   1.00
2024-05-09 09:40:00 NOAA-UT (S)  6   13.00   1.00
2024-05-09 09:45:00 NOAA-UT (N)  6   14.00   1.00
2024-05-09 09:45:00 NOAA-UT (S)  6   14.00   1.00
2024-05-09 09:50:00 NOAA-UT (N)  6   14.00   1.00
2024-05-09 09:50:00 NOAA-UT (S)  6   15.00   1.00
2024-05-09 09:55:00 NOAA-UT (N)  6   15.00   1.00
2024-05-09 09:55:00 NOAA-UT (S)  6   15.00   1.00
2024-05-09 10:00:00 NOAA-UT (N)  6   15.00   1.00
2024-05-09 10:00:00 NOAA-UT (S)  6   16.00   1.00
2024-05-09 10:05:00 NOAA-UT (N)  6   16.00   1.00
2024-05-09 10:05:00 NOAA-UT (S)  6   16.00   1.00
2024-05-09 10:10:00 NOAA-UT (N)  6   16.00   1.00
2024-05-09 10:10:00 NOAA-UT (S)  6   16.00   1.00
2024-05-09 10:15:00 NOAA-UT (N)  6   16.00   1.00
2024-05-09 10:15:00 NOAA-UT (S)  6   17.00   1.00
2024-05-09 10:20:00 NOAA-UT (N)  6   16.00   1.00
2024-05-09 10:20:00 NOAA-UT (S)  6   17.00   1.00
2024-05-09 10:25:00 NOAA-UT (N)  6   16.00   1.00
2024-05-09 10:25:00 NOAA-UT (S)  6   17.00   1.00
2024-05-09 10:30:00 NOAA-UT (N)  6   17.00   1.00
2024-05-09 10:30:00 NOAA-UT (S)  6   18.00   1.00
2024-05-09 10:35:00 NOAA-UT (N)  6   17.00   1.00
2024-05-09 10:35:00 NOAA-UT (S)  6   17.00   1.00
2024-05-09 10:40:00 NOAA-UT (N)  6   16.00   1.00
2024-05-09 10:40:00 NOAA-UT (S)  6   17.00   1.00
2024-05-09 10:45:00 NOAA-UT (N)  6   16.00   1.00
2024-05-09 10:45:00 NOAA-UT (S)  6   16.00   1.00
2024-05-09 10:50:00 NOAA-UT (N)  6   16.00   1.00
2024-05-09 10:50:00 NOAA-UT (S)  6   16.00   1.00
2024-05-09 10:55:00 NOAA-UT (N)  6   16.00   1.00
2024-05-09 10:55:00 NOAA-UT (S)  6   16.00   1.00
2024-05-09 11:00:00 NOAA-UT (N)  6   16.00   1.00
2024-05-09 11:00:00 NOAA-UT (S)  6   17.00   1.00
2024-05-09 11:05:00 NOAA-UT (N)  6   17.00   1.00
2024-05-09 11:05:00 NOAA-UT (S)  6   17.00   1.00
2024-05-09 11:10:00 NOAA-UT (N)  6   17.00   1.00
2024-05-09 11:10:00 NOAA-UT (S)  6   18.00   1.00
2024-05-09 11:15:00 NOAA-UT (N)  6   17.00   1.00
2024-05-09 11:15:00 NOAA-UT (S)  6   18.00   1.00
2024-05-09 11:20:00 NOAA-UT (N)  6   17.00   1.00
2024-05-09 11:20:00 NOAA-UT (S)  6   18.00   1.00
2024-05-09 11:25:00 NOAA-UT (N)  6   17.00   1.00
2024-05-09 11:25:00 NOAA-UT (S)  6   18.00   1.00
2024-05-09 11:30:00 NOAA-UT (N)  6   17.00   1.00
2024-05-09 11:30:00 NOAA-UT (S)  6   17.00   1.00
2024-05-09 11:35:00 NOAA-UT (N)  6   16.00   1.00
2024-05-09 11:35:00 NOAA-UT (S)  6   17.00   1.00
2024-05-09 11:40:00 NOAA-UT (N)  6   16.00   1.00
2024-05-09 11:40:00 NOAA-UT (S)  6   17.00   1.00
2024-05-09 11:45:00 NOAA-UT (N)  6   16.00   1.00
2024-05-09 11:45:00 NOAA-UT (S)  6   17.00   1.00
2024-05-09 11:50:00 NOAA-UT (N)  6   17.00   1.00
2024-05-09 11:50:00 NOAA-UT (S)  6   18.00   1.00
2024-05-09 11:55:00 NOAA-UT (N)  6   17.00   1.00
2024-05-09 11:55:00 NOAA-UT (S)  6   18.00   1.00
2024-05-09 12:00:00 NOAA-UT (N)  6   17.00   1.00
2024-05-09 12:00:00 NOAA-UT (S)  6   18.00   1.00
2024-05-09 12:05:00 NOAA-UT (N)  6   18.00   1.00
2024-05-09 12:05:00 NOAA-UT (S)  6   19.00   1.00
2024-05-09 12:10:00 NOAA-UT (N)  6   19.00   1.00
2024-05-09 12:10:00 NOAA-UT (S)  7   20.00   1.00
2024-05-09 12:15:00 NOAA-UT (N)  6   19.00   1.00
2024-05-09 12:15:00 NOAA-UT (S)  7   20.00   1.00
2024-05-09 12:20:00 NOAA-UT (N)  7   20.00   1.00
2024-05-09 12:20:00 NOAA-UT (S)  7   21.00   1.00
2024-05-09 12:25:00 NOAA-UT (N)  7   20.00   1.00
2024-05-09 12:25:00 NOAA-UT (S)  7   21.00   1.00
2024-05-09 12:30:00 NOAA-UT (N)  7   20.00   1.00
2024-05-09 12:30:00 NOAA-UT (S)  7   22.00   1.00
2024-05-09 12:35:00 NOAA-UT (N)  7   21.00   1.00
2024-05-09 12:35:00 NOAA-UT (S)  7   22.00   1.00
2024-05-09 12:40:00 NOAA-UT (N)  7   21.00   1.00
2024-05-09 12:40:00 NOAA-UT (S)  7   22.00   1.00
2024-05-09 12:45:00 NOAA-UT (N)  7   21.00   1.00
2024-05-09 12:45:00 NOAA-UT (S)  7   23.00   1.00
2024-05-09 12:50:00 NOAA-UT (N)  7   22.00   1.00
2024-05-09 12:50:00 NOAA-UT (S)  7   23.00   1.00
2024-05-09 12:55:00 NOAA-UT (N)  7   21.00   1.00
2024-05-09 12:55:00 NOAA-UT (S)  7   23.00   1.00
2024-05-09 13:00:00 NOAA-UT (N)  7   21.00   1.00
2024-05-09 13:00:00 NOAA-UT (S)  7   23.00   1.00
2024-05-09 13:05:00 NOAA-UT (N)  7   22.00   1.00
2024-05-09 13:05:00 NOAA-UT (S)  7   23.00   1.00
2024-05-09 13:10:00 NOAA-UT (N)  7   22.00   1.00
2024-05-09 13:10:00 NOAA-UT (S)  7   23.00   1.00
2024-05-09 13:15:00 NOAA-UT (N)  7   21.00   1.00
2024-05-09 13:15:00 NOAA-UT (S)  7   23.00   1.00
2024-05-09 13:20:00 NOAA-UT (N)  7   21.00   1.00
2024-05-09 13:20:00 NOAA-UT (S)  7   22.00   1.00
2024-05-09 13:25:00 NOAA-UT (N)  7   20.00   1.00
2024-05-09 13:25:00 NOAA-UT (S)  7   22.00   1.00
2024-05-09 13:30:00 NOAA-UT (N)  7   20.00   1.00
2024-05-09 13:30:00 NOAA-UT (S)  7   21.00   1.00
2024-05-09 13:35:00 NOAA-UT (N)  6   19.00   1.00
2024-05-09 13:35:00 NOAA-UT (S)  7   20.00   1.00
2024-05-09 13:40:00 NOAA-UT (N)  6   18.00   1.00
2024-05-09 13:40:00 NOAA-UT (S)  6   19.00   1.00
2024-05-09 13:45:00 NOAA-UT (N)  6   17.00   1.00
2024-05-09 13:45:00 NOAA-UT (S)  6   18.00   1.00
2024-05-09 13:50:00 NOAA-UT (N)  6   17.00   1.00
2024-05-09 13:50:00 NOAA-UT (S)  6   17.00   1.00
2024-05-09 13:55:00 NOAA-UT (N)  6   16.00   1.00
2024-05-09 13:55:00 NOAA-UT (S)  6   17.00   1.00
2024-05-09 14:00:00 NOAA-UT (N)  6   16.00   1.00
2024-05-09 14:00:00 NOAA-UT (S)  6   16.00   1.00
2024-05-09 14:05:00 NOAA-UT (N)  6   15.00   1.00
2024-05-09 14:05:00 NOAA-UT (S)  6   16.00   1.00
2024-05-09 14:10:00 NOAA-UT (N)  6   15.00   1.00
2024-05-09 14:10:00 NOAA-UT (S)  6   16.00   1.00
2024-05-09 14:15:00 NOAA-UT (N)  6   16.00   1.00
2024-05-09 14:15:00 NOAA-UT (S)  6   16.00   1.00
2024-05-09 14:20:00 NOAA-UT (N)  6   16.00   1.00
2024-05-09 14:20:00 NOAA-UT (S)  6   17.00   1.00
2024-05-09 14:25:00 NOAA-UT (N)  6   16.00   1.00
2024-05-09 14:25:00 NOAA-UT (S)  6   17.00   1.00
2024-05-09 14:30:00 NOAA-UT (N)  6   17.00   1.00
2024-05-09 14:30:00 NOAA-UT (S)  6   18.00   1.00
2024-05-09 14:35:00 NOAA-UT (N)  6   17.00   1.00
2024-05-09 14:35:00 NOAA-UT (S)  6   18.00   1.00
2024-05-09 14:40:00 NOAA-UT (N)  6   17.00   1.00
2024-05-09 14:40:00 NOAA-UT (S)  6   18.00   1.00
2024-05-09 14:45:00 NOAA-UT (N)  6   17.00   1.00
2024-05-09 14:45:00 NOAA-UT (S)  6   18.00   1.00
2024-05-09 14:50:00 NOAA-UT (N)  6   17.00   1.00
2024-05-09 14:50:00 NOAA-UT (S)  6   18.00   1.00
2024-05-09 14:55:00 NOAA-UT (N)  6   17.00   1.00
2024-05-09 14:55:00 NOAA-UT (S)  6   18.00   1.00
2024-05-09 15:00:00 NOAA-UT (N)  6   16.00   1.00
2024-05-09 15:00:00 NOAA-UT (S)  6   17.00   1.00
2024-05-09 15:05:00 NOAA-UT (N)  6   16.00   1.00
2024-05-09 15:05:00 NOAA-UT (S)  6   17.00   1.00
2024-05-09 15:10:00 NOAA-UT (N)  6   16.00   1.00
2024-05-09 15:10:00 NOAA-UT (S)  6   17.00   1.00
2024-05-09 15:15:00 NOAA-UT (N)  6   17.00   1.00
2024-05-09 15:15:00 NOAA-UT (S)  6   17.00   1.00
2024-05-09 15:20:00 NOAA-UT (N)  6   17.00   1.00
2024-05-09 15:20:00 NOAA-UT (S)  6   18.00   1.00
2024-05-09 15:25:00 NOAA-UT (N)  6   17.00   1.00
2024-05-09 15:25:00 NOAA-UT (S)  6   18.00   1.00
2024-05-09 15:30:00 NOAA-UT (N)  6   17.00   1.00
2024-05-09 15:30:00 NOAA-UT (S)  6   18.00   1.00
2024-05-09 15:35:00 NOAA-UT (N)  6   17.00   1.00
2024-05-09 15:35:00 NOAA-UT (S)  6   18.00   1.00
2024-05-09 15:40:00 NOAA-UT (N)  6   17.00   1.00
2024-05-09 15:40:00 NOAA-UT (S)  6   18.00   1.00
2024-05-09 15:45:00 NOAA-UT (N)  6   17.00   1.00
2024-05-09 15:45:00 NOAA-UT (S)  6   18.00   1.00
2024-05-09 15:50:00 NOAA-UT (N)  6   17.00   1.00
2024-05-09 15:50:00 NOAA-UT (S)  6   18.00   1.00
2024-05-09 15:55:00 NOAA-UT (N)  6   17.00   1.00
2024-05-09 15:55:00 NOAA-UT (S)  6   18.00   1.00
2024-05-09 16:00:00 NOAA-UT (N)  6   16.00   1.00
2024-05-09 16:00:00 NOAA-UT (S)  6   17.00   1.00
2024-05-09 16:05:00 NOAA-UT (N)  6   16.00   1.00
2024-05-09 16:05:00 NOAA-UT (S)  6   17.00   1.00
2024-05-09 16:10:00 NOAA-UT (N)  6   16.00   1.00
2024-05-09 16:10:00 NOAA-UT (S)  6   17.00   1.00
2024-05-09 16:15:00 NOAA-UT (N)  6   16.00   1.00
2024-05-09 16:15:00 NOAA-UT (S)  6   17.00   1.00
2024-05-09 16:20:00 NOAA-UT (N)  6   16.00   1.00
2024-05-09 16:20:00 NOAA-UT (S)  6   17.00   1.00
2024-05-09 16:25:00 NOAA-UT (N)  6   16.00   1.00
2024-05-09 16:25:00 NOAA-UT (S)  6   17.00   1.00
2024-05-09 16:30:00 NOAA-UT (N)  6   16.00   1.00
2024-05-09 16:30:00 NOAA-UT (S)  6   17.00   1.00
2024-05-09 16:35:00 NOAA-UT (N)  6   16.00   1.00
2024-05-09 16:35:00 NOAA-UT (S)  6   17.00   1.00
2024-05-09 16:40:00 NOAA-UT (N)  6   16.00   1.00
2024-05-09 16:40:00 NOAA-UT (S)  6   17.00   1.00
2024-05-09 16:45:00 NOAA-UT (N)  6   16.00   1.00
2024-05-09 16:45:00 NOAA-UT (S)  6   17.00   1.00
2024-05-09 16:50:00 NOAA-UT (N)  6   16.00   1.00
2024-05-09 16:50:00 NOAA-UT (S)  6   17.00   1.00
2024-05-09 16:55:00 NOAA-UT (N)  6   16.00   1.00
2024-05-09 16:55:00 NOAA-UT (S)  6   17.00   1.00
2024-05-09 17:00:00 NOAA-UT (N)  6   16.00   1.00
2024-05-09 17:00:00 NOAA-UT (S)  6   16.00   1.00
2024-05-09 17:05:00 NOAA-UT (N)  6   15.00   1.00
2024-05-09 17:05:00 NOAA-UT (S)  6   16.00   1.00
2024-05-09 17:10:00 NOAA-UT (N)  6   15.00   1.00
2024-05-09 17:10:00 NOAA-UT (S)  6   16.00   1.00
2024-05-09 17:15:00 NOAA-UT (N)  6   15.00   1.00
2024-05-09 17:15:00 NOAA-UT (S)  6   16.00   1.00
2024-05-09 17:20:00 NOAA-UT (N)  6   16.00   1.00
2024-05-09 17:20:00 NOAA-UT (S)  6   16.00   1.00
2024-05-09 17:25:00 NOAA-UT (N)  6   16.00   1.00
2024-05-09 17:25:00 NOAA-UT (S)  6   17.00   1.00
2024-05-09 17:30:00 NOAA-UT (N)  6   16.00   1.00
2024-05-09 17:30:00 NOAA-UT (S)  6   17.00   1.00
2024-05-09 17:35:00 NOAA-UT (N)  6   17.00   1.00
2024-05-09 17:35:00 NOAA-UT (S)  6   17.00   1.00
2024-05-09 17:40:00 NOAA-UT (N)  6   17.00   1.00
2024-05-09 17:40:00 NOAA-UT (S)  6   18.00   1.00
2024-05-09 17:45:00 NOAA-UT (N)  6   18.00   1.00
2024-05-09 17:45:00 NOAA-UT (S)  6   19.00   1.00
2024-05-09 17:50:00 NOAA-UT (N)  6   18.00   1.00
2024-05-09 17:50:00 NOAA-UT (S)  6   19.00   1.00
2024-05-09 17:55:00 NOAA-UT (N)  6   19.00   1.00
2024-05-09 17:55:00 NOAA-UT (S)  7   20.00   1.00
2024-05-09 18:00:00 NOAA-UT (N)  6   19.00   1.00
2024-05-09 18:00:00 NOAA-UT (S)  7   21.00   1.00
2024-05-09 18:05:00 NOAA-UT (N)  7   20.00   1.00
2024-05-09 18:05:00 NOAA-UT (S)  7   21.00   1.00
2024-05-09 18:10:00 NOAA-UT (N)  7   20.00   1.00
2024-05-09 18:10:00 NOAA-UT (S)  7   21.00   1.00
2024-05-09 18:15:00 NOAA-UT (N)  7   20.00   1.00
2024-05-09 18:15:00 NOAA-UT (S)  7   21.00   1.00
2024-05-09 18:20:00 NOAA-UT (N)  7   20.00   1.00
2024-05-09 18:20:00 NOAA-UT (S)  7   22.00   1.00
2024-05-09 18:25:00 NOAA-UT (N)  7   21.00   1.00
2024-05-09 18:25:00 NOAA-UT (S)  7   22.00   1.00
2024-05-09 18:30:00 NOAA-UT (N)  7   21.00   1.00
2024-05-09 18:30:00 NOAA-UT (S)  7   23.00   1.00
2024-05-09 18:35:00 NOAA-UT (N)  7   22.00   1.00
2024-05-09 18:35:00 NOAA-UT (S)  7   24.00   1.00
2024-05-09 18:40:00 NOAA-UT (N)  7   22.00   1.00
2024-05-09 18:40:00 NOAA-UT (S)  7   24.00   1.00
2024-05-09 18:45:00 NOAA-UT (N)  7   22.00   1.00
2024-05-09 18:45:00 NOAA-UT (S)  7   23.00   1.00
2024-05-09 18:50:00 NOAA-UT (N)  7   22.00   1.00
2024-05-09 18:50:00 NOAA-UT (S)  7   23.00   1.00
2024-05-09 18:55:00 NOAA-UT (N)  7   22.00   1.00
2024-05-09 18:55:00 NOAA-UT (S)  7   23.00   1.00
2024-05-09 19:00:00 NOAA-UT (N)  7   22.00   1.00
2024-05-09 19:00:00 NOAA-UT (S)  7   24.00   1.00
2024-05-09 19:05:00 NOAA-UT (N)  7   23.00   1.00
2024-05-09 19:05:00 NOAA-UT (S)  7   24.00   1.00
2024-05-09 19:10:00 NOAA-UT (N)  7   24.00   1.00
2024-05-09 19:10:00 NOAA-UT (S)  7   26.00   1.00
2024-05-09 19:15:00 NOAA-UT (N)  7   24.00   1.00
2024-05-09 19:15:00 NOAA-UT (S)  7   26.00   1.00
2024-05-09 19:20:00 NOAA-UT (N)  7   24.00   1.00
2024-05-09 19:20:00 NOAA-UT (S)  7   26.00   1.00
2024-05-09 19:25:00 NOAA-UT (N)  7   24.00   1.00
2024-05-09 19:25:00 NOAA-UT (S)  7   26.00   1.00
2024-05-09 19:30:00 NOAA-UT (N)  7   24.00   1.00
2024-05-09 19:30:00 NOAA-UT (S)  7   26.00   1.00
2024-05-09 19:35:00 NOAA-UT (N)  7   24.00   1.00
2024-05-09 19:35:00 NOAA-UT (S)  7   25.00   1.00
2024-05-09 19:40:00 NOAA-UT (N)  7   23.00   1.00
2024-05-09 19:40:00 NOAA-UT (S)  7   25.00   1.00
2024-05-09 19:45:00 NOAA-UT (N)  7   23.00   1.00
2024-05-09 19:45:00 NOAA-UT (S)  7   25.00   1.00
2024-05-09 19:50:00 NOAA-UT (N)  7   22.00   1.00
2024-05-09 19:50:00 NOAA-UT (S)  7   24.00   1.00
2024-05-09 19:55:00 NOAA-UT (N)  7   22.00   1.00
2024-05-09 19:55:00 NOAA-UT (S)  7   24.00   1.00
2024-05-09 20:00:00 NOAA-UT (N)  7   22.00   1.00
2024-05-09 20:00:00 NOAA-UT (S)  7   23.00   1.00
2024-05-09 20:05:00 NOAA-UT (N)  7   21.00   1.00
2024-05-09 20:05:00 NOAA-UT (S)  7   23.00   1.00
2024-05-09 20:10:00 NOAA-UT (N)  7   21.00   1.00
2024-05-09 20:10:00 NOAA-UT (S)  7   23.00   1.00
2024-05-09 20:15:00 NOAA-UT (N)  7   21.00   1.00
2024-05-09 20:15:00 NOAA-UT (S)  7   23.00   1.00
2024-05-09 20:20:00 NOAA-UT (N)  7   21.00   1.00
2024-05-09 20:20:00 NOAA-UT (S)  7   22.00   1.00
2024-05-09 20:25:00 NOAA-UT (N)  7   21.00   1.00
2024-05-09 20:25:00 NOAA-UT (S)  7   22.00   1.00
2024-05-09 20:30:00 NOAA-UT (N)  7   21.00   1.00
2024-05-09 20:30:00 NOAA-UT (S)  7   22.00   1.00
2024-05-09 20:35:00 NOAA-UT (N)  7   21.00   1.00
2024-05-09 20:35:00 NOAA-UT (S)  7   23.00   1.00
2024-05-09 20:40:00 NOAA-UT (N)  7   21.00   1.00
2024-05-09 20:40:00 NOAA-UT (S)  7   23.00   1.00
2024-05-09 20:45:00 NOAA-UT (N)  7   22.00   1.00
2024-05-09 20:45:00 NOAA-UT (S)  7   23.00   1.00
2024-05-09 20:50:00 NOAA-UT (N)  7   22.00   1.00
2024-05-09 20:50:00 NOAA-UT (S)  7   23.00   1.00
2024-05-09 20:55:00 NOAA-UT (N)  7   22.00   1.00
2024-05-09 20:55:00 NOAA-UT (S)  7   24.00   1.00
2024-05-09 21:00:00 NOAA-UT (N)  7   22.00   1.00
2024-05-09 21:00:00 NOAA-UT (S)  7   24.00   1.00
2024-05-09 21:05:00 NOAA-UT (N)  7   23.00   1.00
2024-05-09 21:05:00 NOAA-UT (S)  7   24.00   1.00
2024-05-09 21:10:00 NOAA-UT (N)  7   23.00   1.00
2024-05-09 21:10:00 NOAA-UT (S)  7   25.00   1.00
2024-05-09 21:15:00 NOAA-UT (N)  7   23.00   1.00
2024-05-09 21:15:00 NOAA-UT (S)  7   25.00   1.00
2024-05-09 21:20:00 NOAA-UT (N)  7   23.00   1.00
2024-05-09 21:20:00 NOAA-UT (S)  7   25.00   1.00
2024-05-09 21:25:00 NOAA-UT (N)  7   22.00   1.00
2024-05-09 21:25:00 NOAA-UT (S)  7   24.00   1.00
2024-05-09 21:30:00 NOAA-UT (N)  7   22.00   1.00
2024-05-09 21:30:00 NOAA-UT (S)  7   23.00   1.00
2024-05-09 21:35:00 NOAA-UT (N)  7   21.00   1.00
2024-05-09 21:35:00 NOAA-UT (S)  7   23.00   1.00
2024-05-09 21:40:00 NOAA-UT (N)  7   21.00   1.00
2024-05-09 21:40:00 NOAA-UT (S)  7   22.00   1.00
2024-05-09 21:45:00 NOAA-UT (N)  7   20.00   1.00
2024-05-09 21:45:00 NOAA-UT (S)  7   22.00   1.00
2024-05-09 21:50:00 NOAA-UT (N)  7   20.00   1.00
2024-05-09 21:50:00 NOAA-UT (S)  7   21.00   1.00
2024-05-09 21:55:00 NOAA-UT (N)  7   20.00   1.00
2024-05-09 21:55:00 NOAA-UT (S)  7   22.00   1.00
2024-05-09 22:00:00 NOAA-UT (N)  6   19.00   1.00
2024-05-09 22:00:00 NOAA-UT (S)  7   21.00   1.00
2024-05-09 22:05:00 NOAA-UT (N)  7   20.00   1.00
2024-05-09 22:05:00 NOAA-UT (S)  7   21.00   1.00
2024-05-09 22:10:00 NOAA-UT (N)  7   20.00   1.00
2024-05-09 22:10:00 NOAA-UT (S)  7   21.00   1.00
2024-05-09 22:15:00 NOAA-UT (N)  7   20.00   1.00
2024-05-09 22:15:00 NOAA-UT (S)  7   21.00   1.00
2024-05-09 22:20:00 NOAA-UT (N)  7   21.00   1.00
2024-05-09 22:20:00 NOAA-UT (S)  7   22.00   1.00
2024-05-09 22:25:00 NOAA-UT (N)  7   21.00   1.00
2024-05-09 22:25:00 NOAA-UT (S)  7   22.00   1.00
2024-05-09 22:30:00 NOAA-UT (N)  7   21.00   1.00
2024-05-09 22:30:00 NOAA-UT (S)  7   23.00   1.00
2024-05-09 22:35:00 NOAA-UT (N)  7   22.00   1.00
2024-05-09 22:35:00 NOAA-UT (S)  7   24.00   1.00
2024-05-09 22:40:00 NOAA-UT (N)  7   23.00   1.00
2024-05-09 22:40:00 NOAA-UT (S)  7   24.00   1.00
2024-05-09 22:45:00 NOAA-UT (N)  7   23.00   1.00
2024-05-09 22:45:00 NOAA-UT (S)  7   25.00   1.00
2024-05-09 22:50:00 NOAA-UT (N)  7   24.00   1.00
2024-05-09 22:50:00 NOAA-UT (S)  7   25.00   1.00
2024-05-09 22:55:00 NOAA-UT (N)  7   24.00   1.00
2024-05-09 22:55:00 NOAA-UT (S)  7   26.00   1.00
2024-05-09 23:00:00 NOAA-UT (N)  7   25.00   1.00
2024-05-09 23:00:00 NOAA-UT (S)  7   27.00   1.00
2024-05-09 23:05:00 NOAA-UT (N)  7   25.00   1.00
2024-05-09 23:05:00 NOAA-UT (S)  7   27.00   1.00
2024-05-09 23:10:00 NOAA-UT (N)  7   24.00   1.00
2024-05-09 23:10:00 NOAA-UT (S)  7   26.00   1.00
2024-05-09 23:15:00 NOAA-UT (N)  7   24.00   1.00
2024-05-09 23:15:00 NOAA-UT (S)  7   26.00   1.00
2024-05-09 23:20:00 NOAA-UT (N)  7   23.00   1.00
2024-05-09 23:20:00 NOAA-UT (S)  7   25.00   1.00
2024-05-09 23:25:00 NOAA-UT (N)  7   23.00   1.00
2024-05-09 23:25:00 NOAA-UT (S)  7   25.00   1.00
